,0
0.0,0.3685510314054712
1.0,0.37919182608972385
1.5,0.3873477661547361
1.6,0.3847212750866289
1.7,0.3890576467045915
1.8,0.3888930675401231
1.9,0.3920657971293219
2.0,0.39537728069295797
2.1,0.3958338780234055
2.2,0.40023793339141
2.3,0.40314045797820813
2.4,0.40149750301890563
2.5,0.4065626368507773
2.6,0.4057135599470731
2.7,0.40606379378411167
2.8,0.40839487111057554
2.9,0.4138356062478905
3.0,0.41267289831226805
3.1,0.417195571982178
3.2,0.40998827069794047
3.3,0.4215727611409894
3.4,0.41628323053507316
3.5,0.41300654213403737
3.6,0.4183502644370574
3.7,0.42168821208903073
3.8,0.2426173357142247
3.9,0.30274179862547507
4.0,0.38255900920679803
4.1,0.4145031460727612
4.2,0.46296614409273384
4.3,0.4585288944677728
4.4,0.5145061172502206
4.5,0.5133359478199133
4.6,0.5187817174190889
4.7,0.5378817808767268
4.8,0.4896598727300256
4.9,0.4572605506304092
5.0,0.47384422089222145
